0.0762712	1.00000000000000e+000
0.0826271	9.59119496855346e-001
0.118644	8.55345911949686e-001
0.150424	8.55345911949686e-001
0.184322	8.20754716981132e-001
0.216102	7.73584905660377e-001
0.252119	6.91823899371069e-001
0.283898	6.60377358490566e-001
0.317797	6.25786163522013e-001
0.349576	6.22641509433962e-001
0.383475	5.72327044025157e-001
0.415254	5.31446540880503e-001
0.502119	4.33962264150943e-001
0.584746	3.64779874213836e-001
0.665254	3.14465408805031e-001
0.75		2.45283018867925e-001
0.832627	2.23270440251572e-001
0.915254	2.07547169811321e-001
0.997881	1.94968553459120e-001
